County,Most searched NFL team in 2018
"Hancock County, Kentucky",Green Bay Packers
"Hardin County, Kentucky",Chicago Bears
"Harlan County, Kentucky",Philadelphia Eagles
"Harrison County, Kentucky",Denver Broncos
"Hart County, Kentucky",Jacksonville Jaguars
"Henderson County, Kentucky",New England Patriots
"Henry County, Kentucky",Cincinnati Bengals
"Hopkins County, Kentucky",Green Bay Packers
"Jefferson County, Kentucky",Philadelphia Eagles
"Jessamine County, Kentucky",New England Patriots
"Johnson County, Kentucky",New England Patriots
"Kenton County, Kentucky",Cincinnati Bengals
"Knott County, Kentucky",New England Patriots
"Knox County, Kentucky",Minnesota Vikings
"Larue County, Kentucky",Jacksonville Jaguars
"Laurel County, Kentucky",Chicago Bears
"Lawrence County, Kentucky",Baltimore Ravens
"Lee County, Kentucky",Cincinnati Bengals
"Leslie County, Kentucky",New England Patriots
"Letcher County, Kentucky",Dallas Cowboys
"Lincoln County, Kentucky",Baltimore Ravens
"Livingston County, Kentucky",Indianapolis Colts
"Logan County, Kentucky",Detroit Lions
"Lyon County, Kentucky",Tennessee Titans
"McCreary County, Kentucky",Philadelphia Eagles
"Marion County, Kentucky",Denver Broncos
"Martin County, Kentucky",Cleveland Browns
"Mason County, Kentucky",Cincinnati Bengals
"Meade County, Kentucky",Cleveland Browns
"Mercer County, Kentucky",New England Patriots
"Metcalfe County, Kentucky",New England Patriots
"Monroe County, Kentucky",Philadelphia Eagles
"Montgomery County, Kentucky",Dallas Cowboys
"Morgan County, Kentucky",New York Giants
"Muhlenberg County, Kentucky",Green Bay Packers
"Nelson County, Kentucky",Philadelphia Eagles
"Ohio County, Kentucky",New England Patriots
"Oldham County, Kentucky",New England Patriots
"Owen County, Kentucky",Cincinnati Bengals
"Pendleton County, Kentucky",Cincinnati Bengals
"Perry County, Kentucky",Cincinnati Bengals
"Pike County, Kentucky",Cleveland Browns
"Powell County, Kentucky",Kansas City Chiefs
"Pulaski County, Kentucky",Philadelphia Eagles
"Rowan County, Kentucky",Pittsburgh Steelers
"Russell County, Kentucky",Philadelphia Eagles
"Scott County, Kentucky",New York Giants
"Shelby County, Kentucky",Philadelphia Eagles
"Simpson County, Kentucky",Detroit Lions
"Spencer County, Kentucky",Pittsburgh Steelers
"Taylor County, Kentucky",New England Patriots
"Todd County, Kentucky",Pittsburgh Steelers
"Trigg County, Kentucky",Green Bay Packers
"Trimble County, Kentucky",Cincinnati Bengals
"Union County, Kentucky",Los Angeles Chargers
"Warren County, Kentucky",Philadelphia Eagles
"Webster County, Kentucky",New Orleans Saints
"Whitley County, Kentucky",New England Patriots
"Wolfe County, Kentucky",Cincinnati Bengals
"Woodford County, Kentucky",Pittsburgh Steelers
"Acadia Parish, Louisiana",New Orleans Saints
"Allen Parish, Louisiana",New Orleans Saints
"Ascension Parish, Louisiana",New Orleans Saints
"Assumption Parish, Louisiana",New Orleans Saints
"Avoyelles Parish, Louisiana",New Orleans Saints
"Beauregard Parish, Louisiana",New Orleans Saints
"Bienville Parish, Louisiana",New Orleans Saints
"Bossier Parish, Louisiana",Dallas Cowboys
"Calcasieu Parish, Louisiana",New Orleans Saints
"Caldwell Parish, Louisiana",Denver Broncos
"Cameron Parish, Louisiana",Philadelphia Eagles
"Catahoula Parish, Louisiana",Pittsburgh Steelers
"Concordia Parish, Louisiana",New England Patriots
"De Soto Parish, Louisiana",New Orleans Saints
"East Carroll Parish, Louisiana",New Orleans Saints
"East Feliciana Parish, Louisiana",New Orleans Saints
"Evangeline Parish, Louisiana",Dallas Cowboys
"Franklin Parish, Louisiana",New Orleans Saints
"Grant Parish, Louisiana",New Orleans Saints
"Iberia Parish, Louisiana",New Orleans Saints
"Iberville Parish, Louisiana",New Orleans Saints
"Jackson Parish, Louisiana",New Orleans Saints
"Jefferson Davis Parish, Louisiana",New Orleans Saints
"Lafayette Parish, Louisiana",New Orleans Saints
"Lafourche Parish, Louisiana",New Orleans Saints
"La Salle Parish, Louisiana",New Orleans Saints
"Lincoln Parish, Louisiana",New Orleans Saints
"Madison Parish, Louisiana",Pittsburgh Steelers
"Morehouse Parish, Louisiana",New Orleans Saints
"Natchitoches Parish, Louisiana",New Orleans Saints
"Ouachita Parish, Louisiana",New Orleans Saints
"Plaquemines Parish, Louisiana",New Orleans Saints
"Pointe Coupee Parish, Louisiana",New Orleans Saints
"Rapides Parish, Louisiana",New Orleans Saints
"Red River Parish, Louisiana",Jacksonville Jaguars
"Richland Parish, Louisiana",New England Patriots
"Sabine Parish, Louisiana",New Orleans Saints
"St. Bernard Parish, Louisiana",New Orleans Saints
"St. Helena Parish, Louisiana",New Orleans Saints
"St. James Parish, Louisiana",New Orleans Saints
"St. John the Baptist Parish, Louisiana",New Orleans Saints
"St. Mary Parish, Louisiana",New Orleans Saints
"Tangipahoa Parish, Louisiana",New Orleans Saints
"Tensas Parish, Louisiana",New Orleans Saints
"Union Parish, Louisiana",New Orleans Saints
"Vermilion Parish, Louisiana",New Orleans Saints
"Washington Parish, Louisiana",New Orleans Saints
"Webster Parish, Louisiana",New Orleans Saints
"West Baton Rouge Parish, Louisiana",New Orleans Saints
"West Carroll Parish, Louisiana",Jacksonville Jaguars
"West Feliciana Parish, Louisiana",New Orleans Saints
"Winn Parish, Louisiana",New Orleans Saints
"Androscoggin County, Maine",New England Patriots
"Aroostook County, Maine",New England Patriots
"Franklin County, Maine",New England Patriots
"Hancock County, Maine",New England Patriots
"Kennebec County, Maine",New England Patriots
"Knox County, Maine",New England Patriots
"Lincoln County, Maine",New England Patriots
"Oxford County, Maine",New England Patriots
"Penobscot County, Maine",New England Patriots
"Piscataquis County, Maine",New England Patriots
"Sagadahoc County, Maine",New England Patriots
"Somerset County, Maine",New England Patriots
"Waldo County, Maine",New England Patriots
"Washington County, Maine",New England Patriots
"York County, Maine",New England Patriots
"Allegany County, Maryland",Pittsburgh Steelers
"Anne Arundel County, Maryland",Baltimore Ravens
"Caroline County, Maryland",Baltimore Ravens
"Carroll County, Maryland",Baltimore Ravens
"Charles County, Maryland",Washington Redskins
"Dorchester County, Maryland",Baltimore Ravens
"Frederick County, Maryland",Washington Redskins
"Garrett County, Maryland",Pittsburgh Steelers
"Harford County, Maryland",Baltimore Ravens
"Kent County, Maryland",Philadelphia Eagles
"Queen Anne's County, Maryland",Philadelphia Eagles
"St. Mary's County, Maryland",Washington Redskins
"Somerset County, Maryland",Washington Redskins
"Talbot County, Maryland",New England Patriots
"Washington County, Maryland",Washington Redskins
"Wicomico County, Maryland",Baltimore Ravens
"Barnstable County, Massachusetts",New England Patriots
"Berkshire County, Massachusetts",New England Patriots
"Dukes County, Massachusetts",New England Patriots
"Franklin County, Massachusetts",New England Patriots
"Hampshire County, Massachusetts",New England Patriots
"Nantucket County, Massachusetts",New England Patriots
"Alger County, Michigan",Green Bay Packers
"Allegan County, Michigan",Detroit Lions
"Alpena County, Michigan",Detroit Lions
"Antrim County, Michigan",Detroit Lions
"Arenac County, Michigan",Detroit Lions
"Baraga County, Michigan",Green Bay Packers
"Barry County, Michigan",Detroit Lions
"Bay County, Michigan",Detroit Lions
"Benzie County, Michigan",Detroit Lions
"Berrien County, Michigan",Detroit Lions
"Branch County, Michigan",Detroit Lions
"Calhoun County, Michigan",Detroit Lions
"Cass County, Michigan",Los Angeles Chargers
"Charlevoix County, Michigan",Detroit Lions
"Cheboygan County, Michigan",Detroit Lions
"Chippewa County, Michigan",Detroit Lions
"Clare County, Michigan",Detroit Lions
"Clinton County, Michigan",Detroit Lions
"Crawford County, Michigan",Pittsburgh Steelers
"Delta County, Michigan",Green Bay Packers
"Dickinson County, Michigan",Green Bay Packers
"Eaton County, Michigan",Detroit Lions
"Emmet County, Michigan",Detroit Lions
"Genesee County, Michigan",Detroit Lions
"Gladwin County, Michigan",Detroit Lions
"Gogebic County, Michigan",Dallas Cowboys
"Grand Traverse County, Michigan",Detroit Lions
"Gratiot County, Michigan",Detroit Lions
"Hillsdale County, Michigan",Detroit Lions
"Houghton County, Michigan",Detroit Lions
"Huron County, Michigan",Detroit Lions
"Ingham County, Michigan",Detroit Lions
"Ionia County, Michigan",Detroit Lions
"Iron County, Michigan",Green Bay Packers
"Isabella County, Michigan",Detroit Lions
"Jackson County, Michigan",Detroit Lions
"Kalamazoo County, Michigan",Detroit Lions
"Kalkaska County, Michigan",Philadelphia Eagles
"Keweenaw County, Michigan",Chicago Bears
"Lake County, Michigan",New England Patriots
"Lapeer County, Michigan",Detroit Lions
"Lenawee County, Michigan",Detroit Lions
"Livingston County, Michigan",Detroit Lions
"Luce County, Michigan",Detroit Lions
"Mackinac County, Michigan",Detroit Lions
"Manistee County, Michigan",Detroit Lions
"Marquette County, Michigan",Green Bay Packers
"Mason County, Michigan",Detroit Lions
"Mecosta County, Michigan",Detroit Lions
"Menominee County, Michigan",Green Bay Packers
"Montcalm County, Michigan",Detroit Lions
"Montmorency County, Michigan",Detroit Lions
"Muskegon County, Michigan",Detroit Lions
"Newaygo County, Michigan",Detroit Lions
"Oceana County, Michigan",Green Bay Packers
"Ogemaw County, Michigan",Green Bay Packers
"Ontonagon County, Michigan",Green Bay Packers
"Osceola County, Michigan",Detroit Lions
"Oscoda County, Michigan",Detroit Lions
"Otsego County, Michigan",Detroit Lions
"Presque Isle County, Michigan",Minnesota Vikings
"Roscommon County, Michigan",Detroit Lions
"St. Clair County, Michigan",Detroit Lions
"St. Joseph County, Michigan",Detroit Lions
"Sanilac County, Michigan",Detroit Lions
"Schoolcraft County, Michigan",Detroit Lions
"Shiawassee County, Michigan",Detroit Lions
"Van Buren County, Michigan",Detroit Lions
"Wexford County, Michigan",Detroit Lions
"Aitkin County, Minnesota",Minnesota Vikings
"Becker County, Minnesota",Minnesota Vikings
"Beltrami County, Minnesota",Minnesota Vikings
"Benton County, Minnesota",Minnesota Vikings
"Big Stone County, Minnesota",Philadelphia Eagles
"Blue Earth County, Minnesota",Minnesota Vikings
"Brown County, Minnesota",Minnesota Vikings
"Carlton County, Minnesota",Minnesota Vikings
"Carver County, Minnesota",Minnesota Vikings
"Cass County, Minnesota",Minnesota Vikings
"Chippewa County, Minnesota",Minnesota Vikings
"Clay County, Minnesota",Minnesota Vikings
"Clearwater County, Minnesota",Minnesota Vikings
"Cook County, Minnesota",Minnesota Vikings
"Cottonwood County, Minnesota",Minnesota Vikings
"Crow Wing County, Minnesota",Minnesota Vikings
"Dodge County, Minnesota",Minnesota Vikings
"Faribault County, Minnesota",New Orleans Saints
"Fillmore County, Minnesota",Minnesota Vikings
"Freeborn County, Minnesota",Minnesota Vikings
"Goodhue County, Minnesota",Minnesota Vikings
"Grant County, Minnesota",Minnesota Vikings
"Houston County, Minnesota",Minnesota Vikings
"Isanti County, Minnesota",Minnesota Vikings
"Itasca County, Minnesota",Minnesota Vikings
"Jackson County, Minnesota",Minnesota Vikings
"Kanabec County, Minnesota",Minnesota Vikings
"Kandiyohi County, Minnesota",Minnesota Vikings
"Kittson County, Minnesota",New England Patriots
"Koochiching County, Minnesota",Minnesota Vikings
"Lac qui Parle County, Minnesota",Minnesota Vikings
"Lake County, Minnesota",Minnesota Vikings
"Lake of the Woods County, Minnesota",Minnesota Vikings
"Le Sueur County, Minnesota",Minnesota Vikings
"Lincoln County, Minnesota",Buffalo Bills
"Lyon County, Minnesota",Minnesota Vikings
"McLeod County, Minnesota",Minnesota Vikings
"Mahnomen County, Minnesota",Minnesota Vikings
"Marshall County, Minnesota",Minnesota Vikings
"Martin County, Minnesota",Minnesota Vikings
"Meeker County, Minnesota",Minnesota Vikings
"Mille Lacs County, Minnesota",Minnesota Vikings
"Morrison County, Minnesota",Minnesota Vikings
"Mower County, Minnesota",Minnesota Vikings
"Murray County, Minnesota",Minnesota Vikings
"Nicollet County, Minnesota",Minnesota Vikings
"Nobles County, Minnesota",Minnesota Vikings
"Norman County, Minnesota",Minnesota Vikings
"Olmsted County, Minnesota",Minnesota Vikings
"Otter Tail County, Minnesota",Minnesota Vikings
"Pennington County, Minnesota",Minnesota Vikings
"Pine County, Minnesota",Minnesota Vikings
"Pipestone County, Minnesota",Minnesota Vikings
"Polk County, Minnesota",Minnesota Vikings
"Pope County, Minnesota",Minnesota Vikings
"Red Lake County, Minnesota",Oakland Raiders
"Redwood County, Minnesota",Minnesota Vikings
"Renville County, Minnesota",Minnesota Vikings
"Rice County, Minnesota",Minnesota Vikings
"Rock County, Minnesota",Minnesota Vikings
"Roseau County, Minnesota",Minnesota Vikings
"Scott County, Minnesota",Minnesota Vikings
"Sherburne County, Minnesota",Minnesota Vikings
"Sibley County, Minnesota",Minnesota Vikings
"Stearns County, Minnesota",Minnesota Vikings
"Steele County, Minnesota",Minnesota Vikings
"Stevens County, Minnesota",Minnesota Vikings
"Swift County, Minnesota",Minnesota Vikings
"Todd County, Minnesota",Minnesota Vikings
"Traverse County, Minnesota",Minnesota Vikings
"Wabasha County, Minnesota",Minnesota Vikings
"Wadena County, Minnesota",Minnesota Vikings
"Waseca County, Minnesota",Minnesota Vikings
"Watonwan County, Minnesota",Minnesota Vikings
"Wilkin County, Minnesota",Minnesota Vikings
"Winona County, Minnesota",Minnesota Vikings
"Wright County, Minnesota",Minnesota Vikings
"Yellow Medicine County, Minnesota",Green Bay Packers
"Adams County, Mississippi",New Orleans Saints
"Alcorn County, Mississippi",Pittsburgh Steelers
"Attala County, Mississippi",New Orleans Saints
"Bolivar County, Mississippi",Dallas Cowboys
"Calhoun County, Mississippi",New England Patriots
"Chickasaw County, Mississippi",New Orleans Saints
"Claiborne County, Mississippi",Philadelphia Eagles
"Clarke County, Mississippi",Philadelphia Eagles
"Clay County, Mississippi",Pittsburgh Steelers
"Coahoma County, Mississippi",Oakland Raiders
"Copiah County, Mississippi",Dallas Cowboys
"Covington County, Mississippi",New Orleans Saints
"DeSoto County, Mississippi",Dallas Cowboys
"Forrest County, Mississippi",New Orleans Saints
"Franklin County, Mississippi",San Francisco 49ers
"George County, Mississippi",Philadelphia Eagles
"Greene County, Mississippi",Dallas Cowboys
"Grenada County, Mississippi",Miami Dolphins
"Hancock County, Mississippi",New Orleans Saints
"Hinds County, Mississippi",New Orleans Saints
"Holmes County, Mississippi",Dallas Cowboys
"Humphreys County, Mississippi",New England Patriots
"Itawamba County, Mississippi",Dallas Cowboys
"Jackson County, Mississippi",New Orleans Saints
"Jasper County, Mississippi",Philadelphia Eagles
"Jefferson County, Mississippi",Dallas Cowboys
"Jefferson Davis County, Mississippi",Dallas Cowboys
"Jones County, Mississippi",New Orleans Saints
"Kemper County, Mississippi",New Orleans Saints
"Lafayette County, Mississippi",Dallas Cowboys
"Lamar County, Mississippi",New Orleans Saints
"Lauderdale County, Mississippi",New York Giants
"Lawrence County, Mississippi",Pittsburgh Steelers
"Leake County, Mississippi",New England Patriots
"Leflore County, Mississippi",Dallas Cowboys
"Lincoln County, Mississippi",New England Patriots
"Lowndes County, Mississippi",Pittsburgh Steelers
"Marion County, Mississippi",New Orleans Saints
"Marshall County, Mississippi",New England Patriots
"Monroe County, Mississippi",Indianapolis Colts
"Montgomery County, Mississippi",Dallas Cowboys
"Neshoba County, Mississippi",New Orleans Saints
"Newton County, Mississippi",New Orleans Saints
"Noxubee County, Mississippi",Green Bay Packers
"Oktibbeha County, Mississippi",New England Patriots
"Panola County, Mississippi",New Orleans Saints
"Perry County, Mississippi",Dallas Cowboys
"Pike County, Mississippi",New Orleans Saints
"Pontotoc County, Mississippi",Dallas Cowboys
"Prentiss County, Mississippi",Dallas Cowboys
"Quitman County, Mississippi",Atlanta Falcons
"Rankin County, Mississippi",New Orleans Saints
"Scott County, Mississippi",San Francisco 49ers
"Simpson County, Mississippi",New Orleans Saints
"Smith County, Mississippi",San Francisco 49ers
"Stone County, Mississippi",Kansas City Chiefs
"Sunflower County, Mississippi",Oakland Raiders
"Tallahatchie County, Mississippi",Philadelphia Eagles
"Tate County, Mississippi",Dallas Cowboys
"Tippah County, Mississippi",Dallas Cowboys
"Tishomingo County, Mississippi",Dallas Cowboys
"Tunica County, Mississippi",Oakland Raiders
"Union County, Mississippi",Green Bay Packers
"Walthall County, Mississippi",New Orleans Saints
"Warren County, Mississippi",New Orleans Saints
"Washington County, Mississippi",Dallas Cowboys
"Wayne County, Mississippi",New England Patriots
"Webster County, Mississippi",Oakland Raiders
"Wilkinson County, Mississippi",New York Giants
"Winston County, Mississippi",Dallas Cowboys
"Yazoo County, Mississippi",Green Bay Packers
"Andrew County, Missouri",Kansas City Chiefs
"Atchison County, Missouri",Kansas City Chiefs
"Audrain County, Missouri",Kansas City Chiefs
"Barry County, Missouri",Green Bay Packers
"Bates County, Missouri",Kansas City Chiefs
"Benton County, Missouri",Kansas City Chiefs
"Bollinger County, Missouri",Cleveland Browns
"Butler County, Missouri",Oakland Raiders
"Caldwell County, Missouri",Kansas City Chiefs
"Carroll County, Missouri",Philadelphia Eagles
"Carter County, Missouri",Chicago Bears
"Cass County, Missouri",Kansas City Chiefs
"Cedar County, Missouri",Kansas City Chiefs
"Chariton County, Missouri",Kansas City Chiefs
"Clark County, Missouri",San Francisco 49ers
"Crawford County, Missouri",Seattle Seahawks
"Dade County, Missouri",Pittsburgh Steelers
"Dallas County, Missouri",Pittsburgh Steelers
"Daviess County, Missouri",Cleveland Browns
"DeKalb County, Missouri",Kansas City Chiefs
"Dunklin County, Missouri",Pittsburgh Steelers
"Gasconade County, Missouri",Kansas City Chiefs
"Gentry County, Missouri",Philadelphia Eagles
"Grundy County, Missouri",Kansas City Chiefs
"Harrison County, Missouri",Kansas City Chiefs
"Henry County, Missouri",Kansas City Chiefs
"Hickory County, Missouri",Kansas City Chiefs
"Holt County, Missouri",Philadelphia Eagles
"Howard County, Missouri",Kansas City Chiefs
"Howell County, Missouri",Cleveland Browns
"Iron County, Missouri",New York Giants
"Jasper County, Missouri",Kansas City Chiefs
"Knox County, Missouri",Kansas City Chiefs
"Laclede County, Missouri",Kansas City Chiefs
"Linn County, Missouri",Kansas City Chiefs
"Livingston County, Missouri",Kansas City Chiefs
"McDonald County, Missouri",Dallas Cowboys
"Macon County, Missouri",Kansas City Chiefs
"Madison County, Missouri",New England Patriots
"Marion County, Missouri",New Orleans Saints
"Mercer County, Missouri",Dallas Cowboys
"Miller County, Missouri",Minnesota Vikings
"Mississippi County, Missouri",Chicago Bears
"Moniteau County, Missouri",Philadelphia Eagles
"Monroe County, Missouri",Philadelphia Eagles
"Montgomery County, Missouri",Kansas City Chiefs
"Morgan County, Missouri",Kansas City Chiefs
"New Madrid County, Missouri",Dallas Cowboys
"Nodaway County, Missouri",Philadelphia Eagles
"Oregon County, Missouri",Kansas City Chiefs
"Osage County, Missouri",Philadelphia Eagles
"Ozark County, Missouri",Dallas Cowboys
"Perry County, Missouri",Minnesota Vikings
"Pettis County, Missouri",Kansas City Chiefs
"Pike County, Missouri",Detroit Lions
"Platte County, Missouri",Kansas City Chiefs
"Polk County, Missouri",Kansas City Chiefs
"Pulaski County, Missouri",Philadelphia Eagles
"Putnam County, Missouri",Green Bay Packers
"Ralls County, Missouri",Pittsburgh Steelers
"Randolph County, Missouri",Dallas Cowboys
"Ray County, Missouri",Kansas City Chiefs
"Ripley County, Missouri",Jacksonville Jaguars
"St. Clair County, Missouri",Kansas City Chiefs
"Schuyler County, Missouri",Kansas City Chiefs
"Scotland County, Missouri",Kansas City Chiefs
"Shelby County, Missouri",Green Bay Packers
"Stoddard County, Missouri",Denver Broncos
"Sullivan County, Missouri",Washington Redskins
"Taney County, Missouri",Kansas City Chiefs
"Warren County, Missouri",New England Patriots
"Wayne County, Missouri",New England Patriots
"Webster County, Missouri",Kansas City Chiefs
"Wright County, Missouri",New England Patriots
"Beaverhead County, Montana",Philadelphia Eagles
"Big Horn County, Montana",Dallas Cowboys
"Blaine County, Montana",Baltimore Ravens
"Broadwater County, Montana",Pittsburgh Steelers
"Carbon County, Montana",New York Jets
"Cascade County, Montana",Denver Broncos
"Chouteau County, Montana",Kansas City Chiefs
"Custer County, Montana",Denver Broncos
"Dawson County, Montana",Denver Broncos
"Fallon County, Montana",Oakland Raiders
"Fergus County, Montana",Seattle Seahawks
"Flathead County, Montana",Oakland Raiders
"Gallatin County, Montana",Minnesota Vikings
"Glacier County, Montana",Chicago Bears
"Granite County, Montana",New England Patriots
"Jefferson County, Montana",New England Patriots
"Judith Basin County, Montana",Green Bay Packers
"Lake County, Montana",Seattle Seahawks
"Liberty County, Montana",Buffalo Bills
"Lincoln County, Montana",Denver Broncos
"McCone County, Montana",Minnesota Vikings
"Madison County, Montana",Atlanta Falcons
"Mineral County, Montana",Seattle Seahawks
"Missoula County, Montana",Denver Broncos
"Musselshell County, Montana",Dallas Cowboys
"Park County, Montana",Green Bay Packers
"Phillips County, Montana",Green Bay Packers
"Pondera County, Montana",Green Bay Packers
"Powder River County, Montana",Green Bay Packers
"Powell County, Montana",Green Bay Packers
"Prairie County, Montana",Washington Redskins
"Ravalli County, Montana",Dallas Cowboys
"Richland County, Montana",Minnesota Vikings
"Roosevelt County, Montana",Dallas Cowboys
"Rosebud County, Montana",New England Patriots
"Sheridan County, Montana",Minnesota Vikings
"Silver Bow County, Montana",New York Giants
"Stillwater County, Montana",Miami Dolphins
"Sweet Grass County, Montana",Denver Broncos
"Teton County, Montana",Pittsburgh Steelers
"Toole County, Montana",Pittsburgh Steelers
"Valley County, Montana",Dallas Cowboys
"Wheatland County, Montana",Minnesota Vikings
"Wibaux County, Montana",Seattle Seahawks
"Yellowstone County, Montana",Denver Broncos
"Adams County, Nebraska",Philadelphia Eagles
"Box Butte County, Nebraska",Minnesota Vikings
"Brown County, Nebraska",Philadelphia Eagles
"Buffalo County, Nebraska",Denver Broncos
"Butler County, Nebraska",Tampa Bay Buccaneers
"Cass County, Nebraska",Cleveland Browns
"Cedar County, Nebraska",Pittsburgh Steelers
"Chase County, Nebraska",New England Patriots
"Cherry County, Nebraska",Minnesota Vikings
"Cheyenne County, Nebraska",Denver Broncos
"Clay County, Nebraska",Tennessee Titans
"Colfax County, Nebraska",Tennessee Titans
"Cuming County, Nebraska",Tennessee Titans
"Custer County, Nebraska",Chicago Bears
"Dakota County, Nebraska",Minnesota Vikings
"Dawes County, Nebraska",Denver Broncos
"Dawson County, Nebraska",New England Patriots
"Dixon County, Nebraska",New England Patriots
"Dodge County, Nebraska",Denver Broncos
"Dundy County, Nebraska",Dallas Cowboys
"Fillmore County, Nebraska",Kansas City Chiefs
"Franklin County, Nebraska",Dallas Cowboys
"Furnas County, Nebraska",Green Bay Packers
"Gage County, Nebraska",Cleveland Browns
"Gosper County, Nebraska",Seattle Seahawks
"Hall County, Nebraska",Oakland Raiders
"Hamilton County, Nebraska",Kansas City Chiefs
"Holt County, Nebraska",Philadelphia Eagles
"Howard County, Nebraska",Minnesota Vikings
"Jefferson County, Nebraska",New England Patriots
"Johnson County, Nebraska",Chicago Bears
"Kearney County, Nebraska",Cleveland Browns
"Kimball County, Nebraska",Dallas Cowboys
"Lincoln County, Nebraska",Oakland Raiders
"Loup County, Nebraska",Dallas Cowboys
"Madison County, Nebraska",Carolina Panthers
"Merrick County, Nebraska",Washington Redskins
"Morrill County, Nebraska",Kansas City Chiefs
"Nance County, Nebraska",New England Patriots
"Nemaha County, Nebraska",Dallas Cowboys
"Nuckolls County, Nebraska",Philadelphia Eagles
"Otoe County, Nebraska",Philadelphia Eagles
"Pawnee County, Nebraska",Oakland Raiders
"Perkins County, Nebraska",Denver Broncos
"Platte County, Nebraska",Atlanta Falcons
"Polk County, Nebraska",Dallas Cowboys
"Red Willow County, Nebraska",Pittsburgh Steelers
"Richardson County, Nebraska",Kansas City Chiefs
"Saline County, Nebraska",Cleveland Browns
"Sarpy County, Nebraska",New England Patriots
"Saunders County, Nebraska",Oakland Raiders
"Scotts Bluff County, Nebraska",Kansas City Chiefs
"Seward County, Nebraska",New England Patriots
"Sheridan County, Nebraska",Denver Broncos
"Sioux County, Nebraska",Philadelphia Eagles
"Thomas County, Nebraska",Tennessee Titans
"Washington County, Nebraska",San Francisco 49ers
"Wayne County, Nebraska",Green Bay Packers
"Webster County, Nebraska",Detroit Lions
"York County, Nebraska",Chicago Bears
"Churchill County, Nevada",San Francisco 49ers
"Douglas County, Nevada",San Francisco 49ers
"Esmeralda County, Nevada",Philadelphia Eagles
"Eureka County, Nevada",Oakland Raiders
"Humboldt County, Nevada",San Francisco 49ers
"Lander County, Nevada",Oakland Raiders
"Lincoln County, Nevada",Philadelphia Eagles
"Lyon County, Nevada",Oakland Raiders
"Mineral County, Nevada",New England Patriots
"Pershing County, Nevada",Dallas Cowboys
"Storey County, Nevada",Denver Broncos
"Carroll County, New Hampshire",New England Patriots
"Cheshire County, New Hampshire",New England Patriots
"Coos County, New Hampshire",New England Patriots
"Grafton County, New Hampshire",New England Patriots
"Hillsborough County, New Hampshire",New England Patriots
"Merrimack County, New Hampshire",New England Patriots
"Rockingham County, New Hampshire",New England Patriots
"Strafford County, New Hampshire",New England Patriots
"Sullivan County, New Hampshire",New England Patriots
"Atlantic County, New Jersey",Philadelphia Eagles
"Cumberland County, New Jersey",Philadelphia Eagles
"Gloucester County, New Jersey",Philadelphia Eagles
"Hunterdon County, New Jersey",Philadelphia Eagles
"Ocean County, New Jersey",Philadelphia Eagles
"Somerset County, New Jersey",New York Giants
"Sussex County, New Jersey",New York Giants
"Union County, New Jersey",New York Giants
"Warren County, New Jersey",New York Giants
"Chaves County, New Mexico",Dallas Cowboys
"Cibola County, New Mexico",Dallas Cowboys
"Colfax County, New Mexico",Denver Broncos
"Curry County, New Mexico",Dallas Cowboys
"Eddy County, New Mexico",Dallas Cowboys
"Guadalupe County, New Mexico",Los Angeles Rams
"Hidalgo County, New Mexico",Dallas Cowboys
"Lea County, New Mexico",Dallas Cowboys
"Lincoln County, New Mexico",Dallas Cowboys
"Mora County, New Mexico",Green Bay Packers
"Otero County, New Mexico",Dallas Cowboys
"Rio Arriba County, New Mexico",Denver Broncos
"Roosevelt County, New Mexico",Dallas Cowboys
"Sandoval County, New Mexico",Oakland Raiders
"San Miguel County, New Mexico",Green Bay Packers
"Santa Fe County, New Mexico",Denver Broncos
"Sierra County, New Mexico",New Orleans Saints
"Socorro County, New Mexico",Green Bay Packers
"Taos County, New Mexico",Denver Broncos
"Torrance County, New Mexico",Philadelphia Eagles
"Union County, New Mexico",Dallas Cowboys
"Valencia County, New Mexico",San Francisco 49ers
"Albany County, New York",New York Giants
"Allegany County, New York",Buffalo Bills
"Broome County, New York",New York Giants
"Cayuga County, New York",Buffalo Bills
"Chautauqua County, New York",Buffalo Bills
"Chemung County, New York",Buffalo Bills
"Chenango County, New York",Jacksonville Jaguars
"Clinton County, New York",Philadelphia Eagles
"Columbia County, New York",New York Giants
"Cortland County, New York",Buffalo Bills
"Delaware County, New York",Minnesota Vikings
"Dutchess County, New York",New York Giants
"Essex County, New York",Philadelphia Eagles
"Franklin County, New York",Philadelphia Eagles
"Fulton County, New York",Buffalo Bills
"Genesee County, New York",Buffalo Bills
"Greene County, New York",New York Giants
"Hamilton County, New York",Philadelphia Eagles
"Herkimer County, New York",Buffalo Bills
"Jefferson County, New York",Buffalo Bills
"Lewis County, New York",New England Patriots
"Livingston County, New York",Buffalo Bills
"Madison County, New York",Dallas Cowboys
"Montgomery County, New York",New Orleans Saints
"Oneida County, New York",Buffalo Bills
"Orange County, New York",New York Giants
"Orleans County, New York",Buffalo Bills
"Oswego County, New York",Philadelphia Eagles
"Otsego County, New York",New York Giants
"St. Lawrence County, New York",Buffalo Bills
"Schenectady County, New York",Buffalo Bills
"Schoharie County, New York",Philadelphia Eagles
"Schuyler County, New York",Minnesota Vikings
"Seneca County, New York",Buffalo Bills
"Tioga County, New York",Buffalo Bills
"Tompkins County, New York",Buffalo Bills
"Warren County, New York",New York Giants
