"Search interest in Denmark Party Leaders by City from 5/27/15-6/15/15
All values indexed to 100, where 100 is the max search interest",,,,,,,,,,,
City,Most Searched,Kristian Thulesen Dahl,Helle Thorning-Schmidt,Søren Pape Poulsen,Morten Østergaard,Lars Løkke Rasmussen,Pia Olsen Dyhr,Uffe Elbæk,Johanne Schmidt-Nielsen,Stig Grenov,Anders Samuelsen
Hedensted (Central Denmark Region Denmark),Johanne Schmidt-Nielsen,0.00,0.29,0.00,0.29,0.29,0.29,0.29,0.59,0.00,0.00
Hellerup (Capital Region of Denmark Denmark),Helle Thorning-Schmidt,0.00,0.20,0.00,0.10,0.20,0.20,0.10,0.20,0.00,0.10
Helsinge (Capital Region of Denmark Denmark),Lars Løkke Rasmussen,0.00,0.41,0.00,0.00,0.61,0.00,0.00,0.41,0.00,0.00
Helsingor (Capital Region of Denmark Denmark),Helle Thorning-Schmidt,0.00,0.27,0.09,0.09,0.18,0.09,0.18,0.09,0.00,0.09
Herlev (Capital Region of Denmark Denmark),Lars Løkke Rasmussen,0.16,0.33,0.16,0.00,0.49,0.08,0.00,0.00,0.00,0.08
Herning (Central Denmark Region Denmark),Lars Løkke Rasmussen,0.00,0.12,0.00,0.00,0.23,0.06,0.23,0.23,0.00,0.06
Hillerod (Capital Region of Denmark Denmark),Johanne Schmidt-Nielsen,0.06,0.28,0.06,0.00,0.17,0.22,0.06,0.34,0.00,0.06
Hjorring (North Denmark Region Denmark),Johanne Schmidt-Nielsen,0.00,0.20,0.10,0.20,0.10,0.00,0.20,0.30,0.00,0.00
Hobro (North Denmark Region Denmark),Helle Thorning-Schmidt,0.00,0.76,0.00,0.19,0.38,0.19,0.00,0.00,0.00,0.00
Holbaek (Region Zealand Denmark),Helle Thorning-Schmidt,0.12,0.41,0.06,0.12,0.17,0.29,0.12,0.06,0.00,0.06
Holstebro (Central Denmark Region Denmark),Lars Løkke Rasmussen,0.00,0.34,0.00,0.17,0.43,0.00,0.00,0.17,0.00,0.09
Holte (Capital Region of Denmark Denmark),Helle Thorning-Schmidt,0.00,0.43,0.00,0.00,0.43,0.00,0.00,0.00,0.00,0.00
Hornslet (Central Denmark Region Denmark),Helle Thorning-Schmidt,0.00,0.57,0.00,0.00,0.00,0.00,0.00,0.57,0.00,0.00
Horsholm (Capital Region of Denmark Denmark),Helle Thorning-Schmidt,0.09,0.52,0.00,0.17,0.48,0.09,0.04,0.30,0.00,0.00
Ishoj (Capital Region of Denmark Denmark),Lars Løkke Rasmussen,0.00,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.00
Karlslunde (Region Zealand Denmark),Helle Thorning-Schmidt,0.00,3.07,0.00,0.00,3.07,0.00,0.00,0.00,0.00,0.00
Karup (Central Denmark Region Denmark),Uffe Elbæk,0.30,0.30,0.00,0.30,0.30,0.00,0.61,0.00,0.00,0.00
Kastrup (Capital Region of Denmark Denmark),Helle Thorning-Schmidt,0.00,0.49,0.00,0.00,0.24,0.24,0.00,0.24,0.00,0.00
Kjellerup (Central Denmark Region Denmark),Søren Pape Poulsen,0.00,0.00,1.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Køge (Region Zealand Denmark),Helle Thorning-Schmidt,0.05,0.64,0.09,0.09,0.41,0.23,0.18,0.09,0.00,0.14
Kokkedal (Capital Region of Denmark Denmark),Anders Samuelsen,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.41
Kolding (Southern Denmark Region Denmark),Helle Thorning-Schmidt,0.14,0.50,0.08,0.06,0.17,0.17,0.17,0.14,0.00,0.11
Langaa (Central Denmark Region Denmark),Morten Østergaard,0.00,0.00,0.00,1.01,0.00,1.01,0.00,0.00,0.00,0.00
Lejre (Region Zealand Denmark),Lars Løkke Rasmussen,0.00,0.00,0.00,0.00,4.07,0.00,0.00,0.00,0.00,0.00
Lemvig (Central Denmark Region Denmark),Johanne Schmidt-Nielsen,0.00,0.25,0.00,0.00,0.25,0.25,0.00,0.49,0.00,0.00
Lillerød (Capital Region of Denmark Denmark),Morten Østergaard,0.00,0.00,0.00,0.19,0.00,0.19,0.19,0.00,0.00,0.00
Løkken-Vrå (North Denmark Region Denmark),Kristian Thulesen Dahl,2.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Løsning (Central Denmark Region Denmark),Helle Thorning-Schmidt,0.00,1.06,0.00,0.00,1.06,1.06,0.00,1.06,0.00,0.00
Lyngby (Capital Region of Denmark Denmark),Helle Thorning-Schmidt,0.04,0.54,0.09,0.09,0.31,0.04,0.13,0.27,0.00,0.13
Marslet (Central Denmark Region Denmark),Uffe Elbæk,0.00,0.00,0.00,0.00,0.00,0.00,0.35,0.00,0.00,0.00
Middelfart (Southern Denmark Region Denmark),Lars Løkke Rasmussen,0.00,0.68,0.00,0.00,1.02,0.17,0.00,0.00,0.00,0.00
Munkebo (Southern Denmark Region Denmark),Helle Thorning-Schmidt,0.00,2.60,0.00,0.00,1.30,0.00,0.00,0.00,0.00,0.00
Naestved (Region Zealand Denmark),Lars Løkke Rasmussen,0.05,0.10,0.00,0.05,0.35,0.00,0.00,0.10,0.00,0.05
Nakskov (Region Zealand Denmark),Uffe Elbæk,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.25,0.00,0.00
Niva (Capital Region of Denmark Denmark),Helle Thorning-Schmidt,0.00,1.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
