"Search interest in Eurovision from May 6 - 13, 2016. All values indexed to 100, where 100 is the max search interest.",,,
city,region,country,searchinterest
Huddersfield,England,United Kingdom,9.00
Osijek,Osijek-Baranja County,Croatia,8.98
Kostroma,Kostroma Oblast,Russia,8.98
Angarsk,Irkutsk Oblast,Russia,8.94
Čačak ,,Serbia,8.92
Kalamata ,,Greece,8.92
Tel Aviv,Tel Aviv District,Israel,8.91
Oxford,England,United Kingdom,8.91
Novokuznetsk,Kemerovo Oblast,Russia,8.89
Woluwe-Saint-Pierre,Brussels,Belgium,8.89
Haderslev,DK-83,Denmark,8.87
Varaždin,Varaždin County,Croatia,8.81
Aalst,Flanders,Belgium,8.81
Katerini ,,Greece,8.79
Vaasa,Ostrobothnia,Finland,8.78
Cwmbran,Wales,United Kingdom,8.75
Serres ,,Greece,8.74
Killearn,Scotland,United Kingdom,8.73
Slov'yans'k,Donetsk Oblast,Ukraine,8.70
Waterford ,,Ireland,8.70
Offenbach,Hesse,Germany,8.66
Southend-on-Sea,England,United Kingdom,8.66
Haarlem,North Holland,Netherlands,8.66
Woluwe-Saint-Lambert,Brussels,Belgium,8.65
Modi'in-Maccabim-Re'ut,Central District,Israel,8.60
Saint Albans,England,United Kingdom,8.60
Bettws,Wales,United Kingdom,8.57
Chichester,England,United Kingdom,8.57
Pyatigorsk,Stavropol Krai,Russia,8.54
Syktyvkar,Komi Republic,Russia,8.54
Thornhill,Scotland,United Kingdom,8.53
West Wellow,England,United Kingdom,8.53
Kramatorsk,Donetsk Oblast,Ukraine,8.51
Moscow,Moskovskaya oblast,Russia,8.51
Hatfield,England,United Kingdom,8.47
Staindrop,England,United Kingdom,8.46
Gillingham,England,United Kingdom,8.46
Nicosia,Nicosia,Cyprus,8.45
Roeselare,Flanders,Belgium,8.45
Drama ,,Greece,8.43
Forsand,Rogaland,Norway,8.42
Scarning,England,United Kingdom,8.39
Zelyony Gorod,Nizhny Novgorod Oblast,Russia,8.36
Tromsø,NO-19,Norway,8.36
Yekaterinburg,Sverdlovsk Oblast,Russia,8.36
Woodley,England,United Kingdom,8.35
Baku ,,Azerbaijan,8.30
Brussels,Brussels,Belgium,8.26
Saransk,Mordovia,Russia,8.21
Norrköping,Östergötland County,Sweden,8.20
Ashkelon,Southern District,Israel,8.20
Sileby,England,United Kingdom,8.18
Ljubljana ,,Slovenia,8.15
Tuzla Canton,BA-BIH,Bosnia and Herzegovina,8.13
Welwyn Garden City,England,United Kingdom,8.12
Crawley,England,United Kingdom,8.12
Kragujevac ,,Serbia,8.12
Podolsk,Moskovskaya oblast,Russia,8.10
Leersum,Utrecht,Netherlands,8.06
Stockport,England,United Kingdom,8.06
Halmstad,Halland County,Sweden,7.99
Hampton in Arden,England,United Kingdom,7.97
Stoke Gifford,England,United Kingdom,7.92
Afula,North District,Israel,7.89
Bournemouth,England,United Kingdom,7.87
Bærum,Akershus,Norway,7.86
Hoofddorp,North Holland,Netherlands,7.83
Ulyanovsk,Ulyanovsk Oblast,Russia,7.82
Southampton,England,United Kingdom,7.79
Nizhny Tagil,Sverdlovsk Oblast,Russia,7.78
Novosibirsk,Novosibirsk Oblast,Russia,7.77
Tirana,Tirana,Albania,7.76
Nizhnevartovsk,Khanty-Mansi Autonomous Okrug,Russia,7.71
Jyväskylä sub-region,Central Finland,Finland,7.71
Sunderland,England,United Kingdom,7.70
Efail Isaf,Wales,United Kingdom,7.69
Petrozavodsk,Republic of Karelia,Russia,7.63
Herne Bay,England,United Kingdom,7.54
Ninove,Flanders,Belgium,7.54
Barry,Wales,United Kingdom,7.53
Oslo,Oslo,Norway,7.52
Wolverhampton,England,United Kingdom,7.52
Rowington,England,United Kingdom,7.50
Liverpool,England,United Kingdom,7.49
Niš ,,Serbia,7.46
Basildon,England,United Kingdom,7.45
Herzliya,Tel Aviv District,Israel,7.44
Balsham,England,United Kingdom,7.44
Harrogate,England,United Kingdom,7.42
Ulan-Ude,Buryatia,Russia,7.41
Villach,Carinthia,Austria,7.41
Subotica,Vojvodina,Serbia,7.41
Tomsk,Tomsk Oblast,Russia,7.41
Trondheim,Sor-Trondelag,Norway,7.40
