"Top searched candidate by county, 11/14/15 to 11/18/15",,,
FIPS,County,State,Top Democrat
20033,Comanche,Kansas,Hillary Clinton
40031,Comanche,Oklahoma,Hillary Clinton
48093,Comanche,Texas,Bernie Sanders
48095,Concho,Texas,Hillary Clinton
22029,Concordia,Louisiana,Bernie Sanders
1035,Conecuh,Alabama,Hillary Clinton
8021,Conejos,Colorado,Hillary Clinton
6013,Contra Costa,California,Bernie Sanders
56009,Converse,Wyoming,Hillary Clinton
5029,Conway,Arkansas,Bernie Sanders
13075,Cook,Georgia,Bernie Sanders
17031,Cook,Illinois,Bernie Sanders
27031,Cook,Minnesota,Bernie Sanders
48097,Cooke,Texas,Bernie Sanders
29053,Cooper,Missouri,Bernie Sanders
33007,Coos,New Hampshire,Hillary Clinton
41011,Coos,Oregon,Bernie Sanders
28029,Copiah,Mississippi,Hillary Clinton
36023,Cortland,New York,Bernie Sanders
48099,Coryell,Texas,Hillary Clinton
39031,Coshocton,Ohio,Hillary Clinton
40033,Cotton,Oklahoma,Hillary Clinton
27033,Cottonwood,Minnesota,Bernie Sanders
1039,Covington,Alabama,Hillary Clinton
28031,Covington,Mississippi,Martin O'Maley
51580,Covington City,Virginia,Bernie Sanders
13077,Coweta,Georgia,Hillary Clinton
20035,Cowley,Kansas,Bernie Sanders
53015,Cowlitz,Washington,Bernie Sanders
40035,Craig,Oklahoma,Hillary Clinton
5031,Craighead,Arkansas,Hillary Clinton
48103,Crane,Texas,Hillary Clinton
37049,Craven,North Carolina,Hillary Clinton
5033,Crawford,Arkansas,Hillary Clinton
13079,Crawford,Georgia,Bernie Sanders
17033,Crawford,Illinois,Hillary Clinton
18025,Crawford,Indiana,Hillary Clinton
19047,Crawford,Iowa,Hillary Clinton
20037,Crawford,Kansas,Bernie Sanders
26039,Crawford,Michigan,Hillary Clinton
29055,Crawford,Missouri,Hillary Clinton
39033,Crawford,Ohio,Hillary Clinton
42039,Crawford,Pennsylvania,Bernie Sanders
55023,Crawford,Wisconsin,Hillary Clinton
