county_code,countyname,state,Most Searched,Second Most Searched
13069,Coffee,Georgia,Ted Cruz,Donald Trump
13071,Colquitt,Georgia,Donald Trump,Ben Carson
13073,Columbia,Georgia,Donald Trump,Ben Carson
13075,Cook,Georgia,Donald Trump,Ben Carson
13077,Coweta,Georgia,Donald Trump,John Kasich
13125,Glascock,Georgia,Donald Trump,Bobby Jindal
13079,Crawford,Georgia,Donald Trump,Ben Carson
13081,Crisp,Georgia,Donald Trump,Jeb Bush
13083,Dade,Georgia,Donald Trump,Ben Carson
13085,Dawson,Georgia,Donald Trump,Jeb Bush
13087,Decatur,Georgia,Donald Trump,Bobby Jindal
13089,De Kalb,Georgia,Donald Trump,Jeb Bush
13091,Dodge,Georgia,Donald Trump,Mike Huckabee
13095,Dougherty,Georgia,Donald Trump,Ben Carson
13097,Douglas,Georgia,Donald Trump,Ben Carson
13099,Early,Georgia,Donald Trump,Bobby Jindal
13101,Echols,Georgia,Donald Trump,Bobby Jindal
13103,Effingham,Georgia,Donald Trump,John Kasich
13149,Heard,Georgia,Donald Trump,Mike Huckabee
13105,Elbert,Georgia,Donald Trump,Jeb Bush
13107,Emanuel,Georgia,Ted Cruz,Donald Trump
13109,Evans,Georgia,Donald Trump,John Kasich
13111,Fannin,Georgia,Donald Trump,Mike Huckabee
13113,Fayette,Georgia,Donald Trump,Jeb Bush
13209,Montgomery,Georgia,Donald Trump,Bobby Jindal
13115,Floyd,Georgia,Donald Trump,Bobby Jindal
13117,Forsyth,Georgia,Donald Trump,Jeb Bush
13119,Franklin,Georgia,Donald Trump,Ted Cruz
13121,Fulton,Georgia,Donald Trump,Jeb Bush
13123,Gilmer,Georgia,Donald Trump,Scott Walker
18075,Jay,Indiana,Ben Carson,Donald Trump
13127,Glynn,Georgia,Donald Trump,Jeb Bush
13129,Gordon,Georgia,Donald Trump,Marco Rubio
13131,Grady,Georgia,Donald Trump,Scott Walker
13133,Greene,Georgia,Donald Trump,Marco Rubio
13135,Gwinnett,Georgia,Donald Trump,Jeb Bush
13207,Monroe,Georgia,Donald Trump,Ted Cruz
13137,Habersham,Georgia,Donald Trump,Jeb Bush
13139,Hall,Georgia,Donald Trump,Jeb Bush
13141,Hancock,Georgia,Donald Trump,Bobby Jindal
13143,Haralson,Georgia,Donald Trump,Ben Carson
13145,Harris,Georgia,Donald Trump,Rick Perry
13147,Hart,Georgia,Donald Trump,Ben Carson
13151,Henry,Georgia,Donald Trump,Jeb Bush
13153,Houston,Georgia,Donald Trump,Jeb Bush
13155,Irwin,Georgia,Donald Trump,Bobby Jindal
13157,Jackson,Georgia,Donald Trump,Jeb Bush
13159,Jasper,Georgia,Donald Trump,Ted Cruz
13161,Jeff Davis,Georgia,Donald Trump,Lindsey Graham
13163,Jefferson,Georgia,Donald Trump,Ted Cruz
13165,Jenkins,Georgia,Donald Trump,Jeb Bush
13167,Johnson,Georgia,Donald Trump,Ben Carson
